millis,stamp,datetime,motion
999, 1678694520, 2147/164/19 8:2:0, Inactive
1999, 1678694520, 2147/164/19 8:2:0, Inactive
2999, 1678694520, 2147/164/19 8:2:0, Inactive
3999, 1678694520, 2147/164/19 8:2:0, Inactive
5000, 1678694520, 2147/164/19 8:2:0, Inactive
5999, 1678694520, 2147/164/19 8:2:0, Inactive
6999, 1678694520, 2147/164/19 8:2:0, Inactive
7999, 1678694520, 2147/164/19 8:2:0, Inactive
8999, 1678694520, 2147/164/19 8:2:0, Inactive
9999, 1678694520, 2147/164/19 8:2:0, Inactive
10999, 1678694520, 2147/164/19 8:2:0, Inactive
11999, 1678694520, 2147/164/19 8:2:0, Inactive
12999, 1678694520, 2147/164/19 8:2:0, Inactive
14000, 1678694520, 2147/164/19 8:2:0, Inactive
14999, 1678694520, 2147/164/19 8:2:0, Active
16000, 1678694520, 2147/164/19 8:2:0, Active
16999, 1678694520, 2147/164/19 8:2:0, Inactive
17999, 1678694520, 2147/164/19 8:2:0, Inactive
18999, 1678694520, 2147/164/19 8:2:0, Inactive
19999, 1678694520, 2147/164/19 8:2:0, Inactive
20999, 1678694520, 2147/164/19 8:2:0, Inactive
21999, 1678694520, 2147/164/19 8:2:0, Inactive
23000, 1678694520, 2147/164/19 8:2:0, Inactive
23999, 1678694520, 2147/164/19 8:2:0, Inactive
24998, 1678694520, 2147/164/19 8:2:0, Inactive
25999, 1678694520, 2147/164/19 8:2:0, Inactive
26999, 1678694520, 2147/164/19 8:2:0, Inactive
27999, 1678694520, 2147/164/19 8:2:0, Inactive
28999, 1678694520, 2147/164/19 8:2:0, Inactive
